Sample_ID	n	total_length	Mean	SD	min_length	max_length	Froh_1Mb	Froh_2Mb	Froh_4Mb	Froh_8Mb	Froh_16Mb
201094560082_R12C02	55	259.311443	4.71	4.84	1.181596	27.413594	0.104	0.096	0.066	0.046	0.019
201094560084_R01C01	90	488.577655	5.43	5.49	1.098753	40.247617	0.196	0.186	0.152	0.082	0.041
201094560084_R01C02	85	515.390494	6.06	5.46	1.172241	29.38245	0.207	0.197	0.174	0.107	0.057
201094560084_R02C01	68	399.251964	5.87	5.11	1.071342	23.060101	0.16	0.153	0.125	0.086	0.039
201094560084_R02C02	47	218.467961	4.65	3.96	1.154956	16.63846	0.088	0.077	0.064	0.032	0.007
201094560084_R03C01	33	160.800914	4.87	3.75	1.106172	15.389186	0.065	0.059	0.048	0.025	
201094560084_R03C02	66	591.290064	8.96	11.83	1.229742	54.001598	0.238	0.231	0.207	0.176	0.138
201094560084_R04C01	65	288.799154	4.44	4.46	1.109275	32.828646	0.116	0.108	0.079	0.032	0.013
201094560084_R04C02	13	31.408228	2.42	1.61	1.022171	7.247094	0.013	0.008	0.003		
201094560084_R05C01	54	248.248462	4.6	3.8	1.066412	19.645932	0.1	0.092	0.067	0.039	0.008
201094560084_R05C02	57	312.106661	5.48	4.89	1.135443	25.323753	0.125	0.12	0.097	0.058	0.018
201094560084_R06C01	17	54.832079	3.23	2.02	1.166486	9.816129	0.022	0.02	0.008	0.004	
201094560084_R06C02	9	25.277229	2.81	0.97	1.945837	4.670688	0.01	0.009	0.003		
201094560084_R07C01	31	80.661956	2.6	1.35	1.089549	7.107927	0.032	0.024	0.01		
201094560084_R07C02	48	342.871018	7.14	7.61	1.152072	41.339737	0.138	0.133	0.115	0.087	0.038
201094560084_R08C01	16	56.621749	3.54	2.84	1.472264	12.309511	0.023	0.02	0.008	0.008	
201094560084_R08C02	19	57.759088	3.04	1.99	1.157121	7.826813	0.023	0.019	0.013		
201094560084_R09C01	37	185.067325	5	5.84	1.447073	34.104967	0.074	0.068	0.054	0.029	0.021
201094560084_R09C02	13	36.893589	2.84	1.71	1.135443	7.863352	0.015	0.012	0.003		
201094560084_R10C01	73	344.228345	4.72	3.27	1.112004	15.482832	0.138	0.127	0.101	0.048	
201094560084_R10C02	37	145.890719	3.94	3.55	1.130042	19.790455	0.059	0.051	0.036	0.016	0.008
201094560084_R11C01	59	267.778427	4.54	3.27	1.257515	15.999572	0.108	0.099	0.075	0.037	
201094560084_R11C02	47	219.561355	4.67	4.8	1.166486	29.408243	0.088	0.081	0.06	0.03	0.019
201094560084_R12C01	77	455.017429	5.91	4.81	1.13482	22.40106	0.183	0.174	0.155	0.085	0.041
201094560084_R12C02	73	410.533997	5.62	5.11	1.16038	33.173587	0.165	0.154	0.13	0.088	0.013
201094560086_R01C01	58	230.809879	3.98	2.95	1.137816	13.368275	0.093	0.083	0.061	0.029	
201094560086_R01C02	73	462.935859	6.34	4.78	1.193099	20.314406	0.186	0.179	0.153	0.104	0.043
201094560086_R03C01	57	202.204624	3.55	2.72	1.257515	11.676492	0.081	0.069	0.043	0.021	
201094560086_R03C02	58	192.598072	3.32	2.44	1.045313	14.741028	0.077	0.066	0.038	0.013	
201094560086_R05C01	56	276.22652	4.93	4.31	1.15935	20.792437	0.111	0.102	0.078	0.058	0.008
201094560086_R05C02	62	357.988637	5.77	5.63	1.027181	29.090566	0.144	0.136	0.112	0.081	0.035
201094560086_R07C01	63	373.54446	5.93	4.56	1.045201	19.943422	0.15	0.142	0.127	0.083	0.023
201094560086_R07C02	27	74.977016	2.78	1.2	1.099705	6.316237	0.03	0.024	0.005		
201977910001_R12C01	49	325.195301	6.64	7.71	1.165774	42.023918	0.131	0.124	0.106	0.08	0.046
201977910001_R12C02	51	239.624202	4.7	4.33	1.04155	25.685991	0.096	0.088	0.069	0.035	0.01
201977910016_R03C01	59	468.250569	7.94	9.33	1.121567	40.540204	0.188	0.179	0.158	0.136	0.092
201977910016_R03C02	53	273.03234	5.15	4.14	1.363543	19.183885	0.11	0.102	0.082	0.044	0.008
201977910016_R05C02	61	272.418929	4.47	4.57	1.12173	27.625145	0.109	0.097	0.075	0.047	0.018
